Rank,Team,ExpectedMargin_vs_Avg
253,Tennessee St.,-7.53
254,Wagner,-7.84
255,UMBC,-8.28
256,Tulane,-8.31
257,Grambling St.,-8.35
258,Oral Roberts,-8.42
259,Southern,-8.44
260,Saint Joseph's,-8.53
261,North Alabama,-8.56
262,Illinois Chicago,-8.62
263,Holy Cross,-8.66
264,Wofford,-8.66
265,Western Michigan,-8.67
266,Purdue Fort Wayne,-8.77
267,Missouri St.,-9.1
268,Bellarmine,-9.1
269,Samford,-9.11
270,Air Force,-9.18
271,UTEP,-9.49
272,West Georgia,-9.65
273,Houston Christian,-9.78
274,South Dakota,-10.07
275,Appalachian St.,-10.32
276,Texas St.,-10.35
277,Radford,-10.48
278,Long Beach St.,-10.54
279,Alabama A&M,-10.64
280,Drexel,-10.81
281,Campbell,-10.83
282,Morehead St.,-10.88
283,Chattanooga,-11.04
284,Fairfield,-11.07
285,San Diego,-11.09
286,Pepperdine,-11.37
287,Mercyhurst,-11.44
288,La Salle,-11.48
289,Le Moyne,-11.55
290,New Hampshire,-11.6
291,Bryant,-11.78
292,Eastern Kentucky,-11.83
293,Prairie View A&M,-11.85
294,Princeton,-12.01
295,Western Carolina,-12.15
296,Texas Southern,-12.16
297,Detroit Mercy,-12.42
298,Howard,-12.81
299,Evansville,-12.91
300,Jacksonville,-13.4
301,Sacred Heart,-13.48
302,UNC Greensboro,-13.71
303,Jacksonville St.,-13.87
304,Merrimack,-14.09
305,Manhattan,-14.26
306,UMass Lowell,-14.31
307,Delaware,-14.46
308,Maine,-14.49
309,New Haven,-14.71
310,Cal St. Bakersfield,-14.75
311,Southeastern Louisiana,-14.88
312,IU Indy,-14.9
313,North Florida,-14.95
314,Lehigh,-15.18
315,East Carolina,-15.2
316,Longwood,-15.43
317,CSUN,-15.48
318,Eastern Illinois,-15.57
319,Bucknell,-15.72
320,Saint Peter's,-15.8
321,Southern Indiana,-16.41
322,North Dakota,-16.48
323,UTSA,-16.55
324,Loyola MD,-16.69
325,Cleveland St.,-17.05
326,Arkansas Pine Bluff,-17.11
327,Northwestern St.,-17.11
328,Stonehill,-17.52
329,Central Michigan,-17.59
330,Army,-18.03
331,Kansas City,-18.07
332,Albany,-18.11
333,Southern Utah,-18.17
334,Mount St. Mary's,-18.32
335,Alcorn St.,-18.33
336,Maryland Eastern Shore,-18.89
337,Florida A&M,-19.56
338,Georgia St.,-19.6
339,Loyola Chicago,-19.84
340,Stetson,-20.33
341,Louisiana,-20.54
342,NJIT,-20.64
343,Little Rock,-20.97
344,North Carolina Central,-21.06
345,Northern Illinois,-21.3
346,Ball St.,-21.51
347,Jackson St.,-21.83
348,Lafayette,-22.35
349,VMI,-23.2
350,Chicago St.,-23.26
351,Louisiana Monroe,-23.92
352,Rider,-23.98
353,Morgan St.,-24.39
354,Fairleigh Dickinson,-24.42
355,Niagara,-24.49
356,South Carolina St.,-24.71
357,Binghamton,-26.41
358,Western Illinois,-26.43
359,Canisius,-26.54
360,Gardner Webb,-26.84
361,The Citadel,-26.91
362,Delaware St.,-27.02
363,Saint Francis,-27.12
364,Mississippi Valley St.,-29.2
365,Coppin St.,-32.49
