team,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff,location_value_opp,mp_opp,fg_opp,fga_opp,fg_pct_opp,fg3_opp,fg3a_opp,fg3_pct_opp,ft_opp,fta_opp,ft_pct_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,possessions_opp,raw_off_eff_opp,fg2,fg2a,fg2_pct,efg,rate_3pa,rate_2pa,ft_rate,ftm_rate,tov_rate,orb_rate,drb_rate,ast_rate,stl_rate,blk_rate,pace,def_eff,net_eff,games_played
Murray St.,0.4,200.0,29.4,61.7,0.4765,10.6,29.4,0.3669,18.6,24.9,0.7514,11.0,24.7,35.7,16.1,6.1,3.4,12.3,18.3,88.0,74.828,118.048,-0.4,200.0,28.5,64.4,0.4424,5.2,16.1,0.3247,14.2,19.4,0.7128,10.6,20.6,31.2,11.8,8.3,2.7,12.3,20.3,76.4,75.314,101.147,18.8,32.3,0.5754,0.5629,0.4767,0.5233,0.4089,0.3068,0.1646,0.3533,0.7094,0.2156,0.081,0.0452,14.9656,102.2652,15.7828,10
N.C. State,0.4,200.0,30.4,60.6,0.5002,10.6,26.5,0.3967,17.4,22.8,0.7673,8.7,24.7,33.4,16.9,8.3,3.0,9.9,19.9,88.8,72.628,122.062,-0.4,200.0,23.3,54.5,0.4303,9.2,27.2,0.3383,16.9,23.9,0.6817,7.9,22.4,30.3,12.6,6.2,3.4,13.9,17.7,72.7,71.852,101.384,19.8,34.1,0.5876,0.5867,0.4351,0.5649,0.3793,0.29,0.1364,0.2847,0.7566,0.2334,0.1153,0.0421,14.5256,99.7464,22.3156,10
NJIT,-0.4545,200.0,21.0909,55.1818,0.3865,8.6364,26.9091,0.3196,13.5455,19.3636,0.6875,7.0909,24.2727,31.3636,10.7273,4.6364,3.2727,14.1818,18.3636,64.3636,71.47,90.1127,0.4545,200.0,27.6364,64.3636,0.4309,8.5455,26.4545,0.319,14.8182,21.9091,0.6792,12.8182,26.0909,38.9091,14.5455,8.2727,3.2727,9.7273,17.0909,78.6364,71.6782,109.7227,12.4545,28.2727,0.4612,0.4649,0.4897,0.5103,0.3663,0.256,0.1975,0.217,0.658,0.15,0.0646,0.0459,14.294,109.89,-19.7772,11
Navy,0.0,200.0,23.6,55.2,0.4322,5.6,17.4,0.3242,16.7,21.9,0.7928,8.6,23.3,31.9,12.9,6.9,2.6,11.8,16.6,69.5,68.801,101.344,0.0,200.0,24.5,56.2,0.4363,7.2,22.2,0.3329,13.5,18.7,0.7211,8.8,23.4,32.2,12.7,7.4,4.0,12.0,19.4,69.7,68.283,102.002,18.0,37.8,0.4825,0.4827,0.3136,0.6864,0.4125,0.3126,0.1705,0.2737,0.7223,0.1886,0.1004,0.0372,13.7602,100.9565,0.3875,10
Nebraska,0.6,200.0,29.6,61.4,0.4819,11.1,31.7,0.3524,13.6,18.7,0.7359,8.2,28.2,36.4,18.7,7.0,2.7,10.0,13.6,83.9,72.083,116.658,-0.6,200.0,23.9,63.7,0.3736,9.6,32.7,0.2876,9.7,13.1,0.7092,8.9,23.9,32.8,13.4,5.5,3.0,12.5,17.8,67.1,73.521,90.816,18.5,29.7,0.6236,0.5723,0.5162,0.4838,0.3101,0.2252,0.136,0.2545,0.7627,0.2585,0.0975,0.0383,14.4166,93.0204,23.6376,10
Nebraska Omaha,-0.5556,200.0,25.1111,57.2222,0.4384,8.0,23.4444,0.3453,14.3333,20.2222,0.7149,7.2222,21.4444,28.6667,12.1111,6.4444,2.7778,11.8889,17.0,72.5556,71.4944,101.9667,0.5556,200.0,27.4444,59.1111,0.464,10.3333,29.2222,0.3517,16.0,21.1111,0.7496,8.0,23.7778,31.7778,16.8889,7.6667,3.7778,10.4444,18.7778,81.2222,71.5822,113.3711,17.1111,33.7778,0.5097,0.5082,0.4114,0.5886,0.363,0.2598,0.1648,0.2328,0.7228,0.1738,0.089,0.0395,14.2989,113.679,-11.7124,9
Nevada,0.2,202.5,25.2,59.3,0.4279,6.8,18.5,0.3821,20.1,27.1,0.7462,10.6,22.8,33.4,14.6,6.4,4.2,8.7,18.7,77.3,70.272,110.422,-0.2,202.5,24.5,55.7,0.4378,8.0,23.1,0.3449,15.7,22.1,0.7037,8.0,22.4,30.4,14.0,4.7,4.3,11.5,21.3,72.7,69.698,104.006,18.4,40.8,0.4535,0.4855,0.3096,0.6904,0.4643,0.3458,0.1239,0.321,0.7366,0.208,0.0914,0.0602,13.8707,103.3406,7.0814,10
New Hampshire,-0.5,203.125,23.125,60.125,0.3822,6.25,23.125,0.2724,9.25,13.5,0.7531,8.25,22.875,31.125,9.0,6.5,2.375,11.375,19.5,61.75,69.665,87.9938,0.5,203.125,26.75,57.5,0.4639,7.625,21.625,0.3496,15.75,22.75,0.6904,8.5,27.625,36.125,13.75,6.875,4.5,10.125,14.625,76.875,69.9312,109.5638,16.875,37.0,0.4483,0.4341,0.3846,0.6154,0.2214,0.153,0.1635,0.2274,0.7336,0.1298,0.0933,0.0338,13.7225,110.4889,-22.4951,8
New Haven,-0.25,200.0,21.125,52.5,0.403,4.75,18.875,0.2512,10.625,15.5,0.6651,7.25,21.625,28.875,8.375,7.125,1.75,11.75,15.75,57.625,64.3625,89.26,0.25,200.0,24.125,53.625,0.4506,7.75,22.125,0.3551,14.125,18.875,0.7462,7.875,25.375,33.25,11.125,6.625,2.875,11.125,16.0,70.125,65.84,106.8012,16.375,33.625,0.4929,0.4492,0.3669,0.6331,0.2958,0.204,0.1835,0.2202,0.7294,0.1305,0.1096,0.0271,12.8725,109.8249,-20.5649,8
New Mexico,0.3333,200.0,27.3333,59.2222,0.4636,8.6667,25.5556,0.3467,17.1111,22.6667,0.749,8.8889,24.7778,33.6667,14.0,7.6667,2.7778,11.2222,17.5556,80.4444,72.3233,111.6911,-0.3333,200.0,24.4444,59.1111,0.4141,9.3333,30.8889,0.3084,14.2222,19.1111,0.7361,10.0,23.2222,33.2222,12.3333,6.3333,2.6667,14.1111,20.1111,72.4444,72.2989,100.7022,18.6667,33.6667,0.556,0.5369,0.4302,0.5698,0.3901,0.296,0.1538,0.2793,0.7134,0.1924,0.1046,0.0388,14.4647,100.6061,11.085,9
New Mexico St.,0.0,200.0,24.5,58.5,0.4185,7.1667,23.6667,0.3072,16.3333,21.8333,0.7462,11.6667,23.5,35.1667,13.0,6.1667,2.8333,10.8333,21.0,72.5,68.0367,107.0,0.0,200.0,20.8333,53.6667,0.3903,6.3333,22.8333,0.291,18.1667,23.5,0.773,7.5,20.1667,27.6667,9.0,6.6667,2.3333,10.5,18.3333,66.1667,67.8317,98.385,17.3333,34.8333,0.5099,0.4786,0.404,0.596,0.403,0.3015,0.1585,0.3644,0.7584,0.1928,0.0897,0.0419,13.6073,98.0105,8.9895,6
New Orleans,-0.6,202.5,24.9,58.2,0.4355,7.9,22.6,0.3483,15.7,21.6,0.729,8.9,23.7,32.6,14.0,6.2,4.0,13.9,20.4,73.4,73.46,100.311,0.6,202.5,27.6,62.4,0.4418,8.1,25.8,0.3163,18.9,26.3,0.7178,10.6,22.2,32.8,17.1,7.3,4.4,9.3,19.4,82.2,73.593,111.9,17.0,35.6,0.4845,0.5044,0.3872,0.6128,0.381,0.2766,0.1885,0.2884,0.6951,0.1926,0.0842,0.0544,14.514,111.9694,-11.6584,10
Niagara,-0.5556,200.0,20.8889,52.0,0.4012,6.2222,21.2222,0.2858,12.1111,17.2222,0.6942,5.5556,20.4444,26.0,11.6667,5.5556,3.2222,11.2222,16.3333,60.1111,65.8478,91.4422,0.5556,200.0,25.3333,54.4444,0.4643,8.4444,22.1111,0.3603,16.1111,21.3333,0.7558,8.1111,25.0,33.1111,14.3333,7.0,3.4444,10.4444,17.8889,75.2222,66.91,112.4222,14.6667,30.7778,0.4681,0.4607,0.407,0.593,0.3378,0.2386,0.1686,0.1822,0.7138,0.1818,0.0845,0.0484,13.1696,114.4299,-22.9877,9
Nicholls,-0.75,200.0,23.625,57.875,0.409,8.125,24.5,0.3514,13.75,21.5,0.6456,7.875,19.75,27.625,12.375,9.125,2.625,11.375,18.875,69.125,71.5875,96.9625,0.75,200.0,27.25,56.25,0.4832,8.25,22.0,0.3564,18.375,24.125,0.7769,8.875,24.875,33.75,16.25,6.375,3.875,13.25,16.375,81.125,72.0863,112.3975,15.5,33.375,0.4651,0.4813,0.4259,0.5741,0.397,0.2534,0.1577,0.237,0.6886,0.1729,0.1263,0.0372,14.3175,113.2081,-16.2456,8
Norfolk St.,-0.5,200.0,23.125,57.25,0.4075,4.875,15.75,0.3054,11.375,19.75,0.5345,8.375,20.625,29.0,8.5,5.625,2.75,12.0,20.875,62.5,70.2562,89.0088,0.5,199.875,24.625,56.125,0.4365,6.75,25.0,0.268,17.75,25.75,0.6765,10.125,25.75,35.875,14.25,8.25,5.0,10.5,17.125,73.75,68.7288,106.2825,18.25,41.5,0.4413,0.4509,0.2753,0.7247,0.3536,0.2055,0.1696,0.2432,0.6715,0.1194,0.08,0.0394,14.0512,103.9154,-14.9066,8
North Alabama,-0.4286,203.5714,24.1429,58.8571,0.4117,6.4286,20.4286,0.314,13.7143,19.5714,0.6953,10.0,21.7143,31.7143,10.2857,6.5714,4.4286,11.0,15.8571,68.4286,69.1543,98.8129,0.4286,203.5714,26.5714,60.8571,0.4367,9.0,27.7143,0.3261,13.2857,19.5714,0.665,11.1429,24.0,35.1429,15.5714,7.7143,4.5714,9.2857,16.5714,75.4286,68.2971,110.5229,17.7143,38.4286,0.4649,0.467,0.3501,0.6499,0.337,0.2352,0.1581,0.2948,0.6636,0.1489,0.0964,0.0634,13.5909,109.4119,-10.5991,7
North Carolina,0.7778,200.0,27.7778,60.1111,0.4624,8.0,25.2222,0.3199,17.6667,25.0,0.7072,10.6667,29.1111,39.7778,16.0,5.6667,4.3333,11.0,15.8889,81.2222,72.32,112.14,-0.7778,200.0,23.7778,64.6667,0.372,6.3333,21.5556,0.3008,11.1111,15.7778,0.7096,8.4444,20.6667,29.1111,10.3333,6.5556,3.5556,9.3333,20.1111,65.0,73.05,89.8833,19.7778,34.8889,0.5717,0.5293,0.4196,0.5804,0.4182,0.2968,0.1526,0.3392,0.7679,0.2207,0.0773,0.0603,14.464,90.5427,21.5973,9
North Carolina A&T,-0.7143,200.0,24.0,53.7143,0.4476,5.0,16.7143,0.3033,19.1429,27.2857,0.7049,9.1429,24.4286,33.5714,10.8571,6.8571,3.8571,13.4286,19.2857,72.1429,70.96,101.5843,0.7143,200.0,25.1429,56.4286,0.446,7.1429,19.8571,0.3566,16.4286,25.4286,0.6553,8.0,22.4286,30.4286,14.7143,7.5714,3.7143,11.7143,22.7143,73.8571,72.22,103.26,19.0,37.0,0.5184,0.4953,0.3179,0.6821,0.5253,0.3668,0.1886,0.2846,0.7464,0.1513,0.0947,0.0542,14.192,104.8643,-3.28,7
North Carolina Central,-0.7778,200.0,18.8889,55.6667,0.3434,5.5556,18.6667,0.3057,16.6667,21.8889,0.7693,7.8889,19.6667,27.5556,10.5556,6.8889,2.7778,11.8889,19.2222,60.0,70.0633,85.9544,0.7778,200.0,27.7778,57.0,0.4828,10.4444,27.8889,0.3662,18.7778,26.5556,0.7097,11.5556,28.6667,40.2222,18.4444,6.6667,6.6667,10.6667,18.1111,84.7778,68.7244,122.93,13.3333,37.0,0.3685,0.3935,0.3372,0.6628,0.3954,0.3013,0.1699,0.214,0.6312,0.1512,0.0976,0.04,14.0127,120.6372,-34.6827,9
North Dakota,-0.2,199.9,24.2,59.5,0.4053,6.1,22.0,0.2823,13.2,20.9,0.634,7.9,18.8,26.7,10.3,9.6,1.8,11.1,20.8,67.7,72.627,93.315,0.2,200.2,27.8,54.7,0.51,8.8,24.3,0.3679,16.8,24.9,0.6668,8.4,26.8,35.2,16.7,6.0,3.2,15.2,18.2,81.2,73.327,110.772,18.1,37.5,0.4825,0.4567,0.3711,0.6289,0.3565,0.2249,0.1525,0.217,0.6956,0.1419,0.1323,0.025,14.5328,111.7254,-18.4104,10
North Dakota St.,-0.3333,202.7778,26.0,64.5556,0.4028,7.7778,27.5556,0.2803,15.8889,21.6667,0.7369,12.2222,23.3333,35.5556,13.2222,8.6667,3.4444,11.1111,16.5556,75.6667,73.7367,102.3178,0.3333,202.7778,25.7778,59.0,0.4359,6.3333,20.2222,0.3113,12.8889,17.6667,0.727,8.5556,24.5556,33.1111,12.6667,7.7778,3.6667,14.5556,17.6667,70.7778,73.39,96.3467,18.2222,37.0,0.4898,0.4634,0.4255,0.5745,0.3396,0.2471,0.1513,0.332,0.7336,0.1808,0.116,0.0459,14.5505,95.6451,6.6727,9
North Florida,-0.4286,200.0,24.7143,58.0,0.4331,11.1429,31.4286,0.3597,10.0,13.4286,0.7509,5.2857,18.1429,23.4286,13.4286,5.8571,1.7143,15.4286,20.5714,70.5714,74.5214,95.4171,0.4286,200.0,34.7143,69.0,0.503,6.5714,22.8571,0.2944,16.4286,24.7143,0.6653,16.5714,26.0,42.5714,19.1429,9.8571,4.7143,11.2857,13.4286,92.4286,75.4543,122.1043,13.5714,26.5714,0.5237,0.5312,0.5428,0.4572,0.2367,0.1769,0.2074,0.1717,0.5282,0.1834,0.0781,0.0239,14.9043,123.6014,-28.1843,7
North Texas,0.3333,202.7778,22.8889,53.1111,0.4383,6.3333,18.4444,0.3419,16.1111,22.5556,0.7088,9.1111,22.5556,31.6667,12.8889,7.7778,4.5556,11.4444,20.2222,68.2222,66.1589,103.8811,-0.3333,202.7778,21.0,52.3333,0.3987,6.0,20.4444,0.2909,18.3333,26.0,0.7166,9.3333,20.8889,30.2222,10.1111,7.0,3.5556,12.4444,18.4444,66.3333,67.7944,98.3744,16.5556,34.6667,0.4881,0.4987,0.3455,0.6545,0.4274,0.3033,0.1732,0.3163,0.7144,0.1965,0.1165,0.0688,13.046,100.4084,3.4727,9
Northeastern,-0.3333,202.7778,25.7778,57.7778,0.4477,6.4444,20.7778,0.3151,14.1111,20.0,0.6843,8.4444,22.5556,31.0,13.7778,8.3333,4.0,13.1111,17.8889,72.1111,71.9433,99.9922,0.3333,202.7778,25.7778,55.7778,0.4604,6.2222,19.3333,0.3252,15.3333,20.4444,0.7556,7.3333,23.6667,31.0,12.2222,8.3333,3.4444,13.4444,17.7778,73.3333,71.6011,102.4044,19.3333,37.0,0.5222,0.5042,0.3592,0.6408,0.3459,0.2448,0.1798,0.2586,0.7493,0.1922,0.1151,0.0551,14.2051,101.6738,-1.6816,9
Northern Arizona,-0.1429,200.0,25.0,59.5714,0.4206,6.5714,20.2857,0.3283,10.5714,16.2857,0.6844,8.2857,22.4286,30.7143,11.7143,8.1429,3.2857,11.8571,18.8571,67.1429,70.88,94.1871,0.1429,200.0,27.4286,61.1429,0.4497,8.1429,25.1429,0.3194,13.7143,19.4286,0.6983,10.4286,26.7143,37.1429,14.8571,6.7143,4.0,12.4286,14.5714,76.7143,72.37,106.1371,18.4286,39.2857,0.4764,0.4752,0.3449,0.6551,0.2788,0.1829,0.1675,0.229,0.6788,0.1646,0.1157,0.0468,14.176,108.2168,-14.0296,7
Northern Colorado,-0.4286,210.7143,28.4286,58.5714,0.4871,8.8571,26.0,0.3466,16.8571,21.7143,0.7659,6.1429,26.4286,32.5714,16.8571,3.8571,2.5714,12.7143,19.4286,82.5714,75.4571,109.5843,0.4286,210.7143,27.8571,63.4286,0.44,4.8571,20.0,0.2404,16.1429,22.5714,0.7026,8.8571,22.2857,31.1429,11.1429,6.2857,2.2857,9.5714,18.7143,76.7143,74.8643,102.14,19.5714,32.5714,0.6008,0.5634,0.4441,0.5559,0.3693,0.2851,0.167,0.2127,0.749,0.2258,0.0524,0.0324,14.3222,101.2382,8.3461,7
Northern Illinois,-0.5,200.0,23.25,56.875,0.4082,7.875,24.25,0.3246,13.625,21.875,0.6345,10.0,19.0,29.0,11.375,5.25,1.625,14.625,20.875,68.0,71.89,95.0438,0.5,200.0,28.625,56.875,0.5041,8.5,23.25,0.3685,16.25,22.25,0.7204,9.75,22.0,31.75,15.125,8.25,4.75,11.125,18.375,82.0,68.8212,118.6188,15.375,32.625,0.4663,0.4781,0.4246,0.5754,0.3943,0.2487,0.2019,0.305,0.6686,0.1601,0.0762,0.0225,14.378,113.5928,-18.549,8
Northern Iowa,0.25,206.25,25.75,56.875,0.4586,8.125,23.75,0.3302,10.625,16.0,0.6816,5.25,23.375,28.625,16.375,7.0,3.5,8.25,16.125,70.25,67.475,104.59,-0.25,206.25,21.0,53.875,0.3898,6.5,22.75,0.29,11.875,17.125,0.691,8.25,26.0,34.25,9.625,4.625,3.25,12.5,16.375,60.375,66.2575,91.1888,17.625,33.125,0.5382,0.5294,0.4147,0.5853,0.2969,0.1966,0.1224,0.1708,0.7427,0.2442,0.106,0.0528,13.075,89.545,15.045,8
Northern Kentucky,0.0,200.0,27.25,61.125,0.4455,9.375,27.625,0.3469,14.875,19.0,0.7654,10.25,18.375,28.625,15.125,9.625,4.25,13.125,19.625,78.75,73.0225,108.2925,0.0,200.0,25.625,52.75,0.49,8.125,20.25,0.407,17.375,24.375,0.7049,8.875,20.75,29.625,14.0,7.25,2.875,15.25,18.0,76.75,70.7038,108.6562,17.875,33.5,0.5299,0.5221,0.4517,0.5483,0.3124,0.2441,0.1788,0.342,0.6825,0.209,0.1336,0.0578,14.6045,105.2791,3.0134,8
Northwestern,0.1111,200.0,28.7778,57.4444,0.4996,6.5556,18.4444,0.3602,17.0,22.8889,0.7447,7.6667,22.5556,30.2222,18.3333,5.8889,3.4444,9.3333,18.4444,81.1111,69.9822,115.9256,-0.1111,200.0,25.3333,61.1111,0.4141,7.0,24.0,0.2823,15.4444,20.5556,0.7216,10.7778,19.6667,30.4444,15.7778,4.6667,2.2222,10.7778,19.1111,73.1111,70.8733,102.8433,22.2222,39.0,0.5679,0.5562,0.3209,0.6791,0.4055,0.3003,0.1331,0.2764,0.6732,0.2627,0.0846,0.05,13.9964,104.264,11.6615,9
Northwestern St.,-0.75,203.125,22.25,52.0,0.4258,6.875,19.5,0.3546,16.5,22.5,0.7268,6.875,16.75,23.625,11.0,6.625,2.25,13.125,20.125,67.875,68.9375,98.23,0.75,203.125,28.375,56.25,0.5045,8.375,21.75,0.3858,18.5,26.375,0.6898,10.25,22.5,32.75,17.0,8.25,4.375,10.75,20.375,83.625,69.2788,121.3088,15.375,32.5,0.4679,0.4915,0.3767,0.6233,0.4434,0.3253,0.1912,0.2359,0.6166,0.1586,0.0956,0.0322,13.577,121.5181,-23.2881,8
Notre Dame,0.0909,202.2727,27.2727,57.0909,0.4774,8.8182,23.5455,0.3826,13.5455,19.2727,0.7053,8.7273,24.7273,33.4545,13.6364,4.6364,2.0,10.8182,17.3636,76.9091,68.3364,112.2391,-0.0909,202.2727,23.4545,55.8182,0.4213,8.0,23.8182,0.3328,14.0909,19.4545,0.7273,6.4545,20.0,26.4545,12.9091,5.5455,2.7273,9.8182,17.1818,69.0,68.4218,100.8673,18.4545,33.5455,0.5576,0.554,0.4129,0.5871,0.3462,0.2433,0.1582,0.3029,0.8012,0.1975,0.0673,0.0296,13.5168,100.9581,11.281,11
Oakland,-0.5556,200.0,29.8889,63.2222,0.4683,7.5556,21.2222,0.3413,16.1111,21.6667,0.7456,7.7778,20.6667,28.4444,15.6667,6.2222,3.7778,9.0,15.1111,83.4444,74.7344,110.8878,0.5556,200.0,34.1111,67.1111,0.5086,10.4444,28.0,0.3637,11.7778,16.4444,0.7241,10.0,24.6667,34.6667,22.3333,4.4444,5.0,10.1111,18.0,90.4444,75.0322,120.2878,22.3333,42.0,0.5263,0.5272,0.3341,0.6659,0.3467,0.2572,0.1216,0.243,0.6861,0.2077,0.0824,0.0495,14.9469,121.0846,-10.1968,9
Ohio,0.3333,200.0,26.4444,60.4444,0.4363,6.3333,22.0,0.2694,14.6667,21.6667,0.7188,9.3333,21.2222,30.5556,11.8889,5.6667,2.2222,11.1111,16.2222,73.8889,72.5167,101.9367,-0.3333,200.0,28.8889,61.6667,0.4682,9.2222,24.6667,0.3723,14.0,19.1111,0.7079,10.8889,24.0,34.8889,14.2222,6.5556,3.8889,11.3333,19.7778,81.0,71.1889,113.4811,20.1111,38.4444,0.5159,0.4887,0.3643,0.6357,0.369,0.2479,0.153,0.2816,0.6611,0.1653,0.0771,0.0311,14.5033,111.7923,-9.8556,9
Ohio St.,0.5556,200.0,29.7778,57.1111,0.5196,9.1111,25.1111,0.3546,18.7778,24.3333,0.7714,7.2222,26.1111,33.3333,16.8889,5.2222,1.7778,10.4444,17.4444,87.4444,71.8889,120.8078,-0.5556,200.0,25.5556,60.7778,0.4197,7.0,24.5556,0.284,13.1111,18.2222,0.6979,8.2222,18.5556,26.7778,12.1111,5.2222,1.4444,11.2222,21.4444,71.2222,72.4333,97.8767,20.6667,32.0,0.6434,0.5999,0.4422,0.5578,0.4322,0.3343,0.1436,0.2745,0.762,0.2337,0.0721,0.0255,14.3778,98.4869,22.3209,9
Oklahoma,-0.1111,200.0,29.1111,63.4444,0.4573,9.8889,29.6667,0.3332,16.5556,22.4444,0.7407,11.0,22.7778,33.7778,15.7778,7.0,3.7778,9.5556,17.4444,84.6667,72.6589,116.7689,0.1111,200.0,26.4444,61.5556,0.4289,8.8889,24.0,0.3706,13.2222,18.1111,0.71,9.4444,21.6667,31.1111,14.5556,5.7778,3.1111,11.6667,18.2222,75.0,72.3789,103.8467,19.2222,33.7778,0.5685,0.5352,0.4692,0.5308,0.3583,0.265,0.1299,0.3374,0.709,0.2185,0.0963,0.0526,14.5318,103.2487,13.5202,9
Oklahoma St.,0.5556,200.0,31.7778,63.6667,0.5023,7.1111,22.2222,0.3221,20.6667,27.5556,0.7483,9.1111,27.5556,36.6667,17.0,7.7778,2.8889,13.3333,17.5556,91.3333,80.9789,112.8067,-0.5556,200.0,26.6667,64.8889,0.4118,9.0,30.5556,0.288,14.1111,20.0,0.7029,9.2222,20.7778,30.0,15.7778,6.8889,4.1111,13.3333,20.8889,76.4444,78.5,97.6878,24.6667,41.4444,0.6005,0.5578,0.3475,0.6525,0.4373,0.3289,0.164,0.2963,0.7483,0.2096,0.0959,0.036,16.1958,94.5611,18.2455,9
Old Dominion,-0.5556,200.0,25.5556,60.0,0.4279,8.1111,24.1111,0.3462,14.1111,19.2222,0.7392,7.7778,21.7778,29.5556,13.2222,5.3333,3.1111,10.7778,19.2222,73.3333,72.13,102.1144,0.5556,200.0,27.8889,60.4444,0.4609,7.1111,22.2222,0.3042,18.5556,25.3333,0.734,10.2222,24.8889,35.1111,15.7778,6.3333,4.5556,9.4444,15.2222,81.4444,71.7,112.9822,17.4444,35.8889,0.4947,0.4963,0.4031,0.5969,0.3245,0.2381,0.1484,0.2342,0.6818,0.1837,0.075,0.0432,14.426,112.3478,-10.2334,9
Oral Roberts,-0.1111,200.0,24.3333,57.6667,0.4269,9.3333,27.5556,0.3492,16.2222,21.2222,0.7472,8.0,18.5556,26.5556,10.5556,6.2222,3.8889,14.3333,19.7778,74.2222,74.0811,100.4311,0.1111,199.7778,30.3333,61.0,0.4978,8.4444,22.3333,0.3814,17.3333,24.2222,0.718,10.3333,24.1111,34.4444,14.0,8.8889,3.4444,11.8889,18.8889,86.4444,74.06,117.0356,15.0,30.1111,0.4989,0.5092,0.4739,0.5261,0.3752,0.2889,0.1928,0.25,0.6386,0.143,0.0843,0.0504,14.8162,116.7388,-16.3077,9
Oregon,0.5556,200.0,23.5556,58.4444,0.4027,8.2222,26.0,0.2963,17.5556,25.0,0.7044,12.5556,21.2222,33.7778,13.1111,5.5556,4.2222,12.7778,16.2222,72.8889,70.5411,103.5456,-0.5556,200.0,26.5556,59.1111,0.4517,7.6667,22.8889,0.3384,14.6667,18.6667,0.7821,9.6667,21.2222,30.8889,12.3333,7.6667,2.6667,10.7778,20.1111,75.4444,69.09,109.81,15.3333,32.4444,0.473,0.4741,0.4487,0.5513,0.4426,0.31,0.1794,0.3724,0.6785,0.1856,0.0788,0.0602,14.1082,107.1013,-3.5557,9
Oregon St.,0.8,205.0,23.4,53.0,0.4414,8.7,24.7,0.3526,17.7,22.9,0.7901,7.4,22.8,30.2,13.8,6.1,4.8,12.4,18.4,73.2,68.879,106.65,-0.8,205.0,25.2,60.0,0.4216,7.4,23.9,0.3134,15.1,20.8,0.7141,10.7,21.0,31.7,12.6,8.0,2.2,10.5,20.0,72.9,69.679,104.759,14.7,28.3,0.5208,0.5249,0.4722,0.5278,0.4342,0.3376,0.1802,0.2581,0.6755,0.1998,0.0877,0.0689,13.4314,105.6737,0.9763,10
Pacific,-0.3333,200.0,25.6667,55.4444,0.4697,6.7778,20.6667,0.3294,14.4444,18.5556,0.7773,8.4444,26.8889,35.3333,12.1111,5.4444,2.7778,12.2222,19.0,72.5556,68.0356,107.1,0.3333,200.0,22.4444,55.8889,0.4083,6.5556,22.1111,0.289,14.7778,21.7778,0.7129,7.6667,19.4444,27.1111,10.3333,7.3333,4.1111,9.7778,16.4444,66.2222,68.3433,97.4011,18.8889,34.7778,0.5429,0.5303,0.3664,0.6336,0.349,0.2724,0.1772,0.2926,0.7774,0.1776,0.0801,0.0414,13.6071,97.5166,9.5834,9
Penn,0.1111,200.0,25.7778,59.7778,0.4356,8.1111,20.0,0.3961,15.1111,21.6667,0.6694,10.7778,21.7778,32.5556,14.7778,6.0,3.1111,11.2222,16.3333,74.7778,70.5144,106.4456,-0.1111,200.0,29.1111,63.6667,0.4609,8.6667,25.8889,0.3367,11.6667,16.1111,0.7119,9.5556,24.6667,34.2222,15.7778,6.3333,3.7778,10.6667,18.5556,78.5556,72.4278,108.3356,17.6667,39.7778,0.4472,0.5042,0.3368,0.6632,0.3693,0.2576,0.1587,0.3066,0.6916,0.2118,0.0847,0.0446,14.1029,111.4109,-4.9653,9
Penn St.,0.4,200.0,29.4,58.4,0.5064,7.0,18.9,0.3687,16.2,22.7,0.7174,8.3,20.8,29.1,14.0,8.1,1.4,8.8,13.9,82.0,69.684,118.383,-0.4,200.0,27.5,57.8,0.4763,9.1,25.7,0.3552,10.2,13.1,0.7959,7.4,20.3,27.7,16.4,5.1,2.9,12.4,18.7,74.3,69.022,107.584,22.4,39.5,0.5712,0.5664,0.3231,0.6769,0.3955,0.2815,0.1237,0.2908,0.7391,0.2033,0.1154,0.0196,13.9368,106.6048,11.7782,10
Pepperdine,0.25,203.125,21.625,56.875,0.3811,6.5,24.125,0.2776,17.125,20.75,0.8355,8.125,21.25,29.375,12.875,5.0,3.0,11.125,15.5,66.875,69.7312,95.8,-0.25,203.125,27.25,60.625,0.4499,9.0,27.875,0.3231,11.375,16.125,0.7176,9.25,24.0,33.25,15.75,6.75,4.125,10.875,19.25,74.875,69.91,107.425,15.125,32.75,0.4612,0.44,0.4293,0.5707,0.3738,0.3104,0.1612,0.2433,0.6978,0.1851,0.0697,0.042,13.7067,107.6693,-11.8693,8
Pittsburgh,0.6,200.0,25.0,57.0,0.4381,8.1,23.6,0.3406,13.7,19.5,0.6915,10.6,21.9,32.5,12.6,6.3,4.0,11.3,16.7,71.8,66.961,107.159,-0.6,200.0,24.1,56.5,0.4281,7.2,21.4,0.343,13.9,17.9,0.7619,8.1,20.7,28.8,12.1,5.8,3.0,10.0,16.5,69.3,66.901,103.974,16.9,33.4,0.5039,0.5106,0.4191,0.5809,0.3523,0.2504,0.1688,0.3356,0.7227,0.1887,0.0933,0.0595,13.3922,103.939,3.22,10
