team,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff,location_value_opp,mp_opp,fg_opp,fga_opp,fg_pct_opp,fg3_opp,fg3a_opp,fg3_pct_opp,ft_opp,fta_opp,ft_pct_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,possessions_opp,raw_off_eff_opp,fg2,fg2a,fg2_pct,efg,rate_3pa,rate_2pa,ft_rate,ftm_rate,tov_rate,orb_rate,drb_rate,ast_rate,stl_rate,blk_rate,pace,def_eff,net_eff,games_played
Manhattan,-0.2727,204.5455,24.0909,56.9091,0.4243,7.5455,20.9091,0.3596,18.7273,25.0909,0.734,7.9091,20.0909,28.0,11.7273,8.3636,2.9091,11.9091,16.1818,74.4545,72.8273,102.7255,0.2727,204.5455,31.7273,66.6364,0.4787,9.0909,24.0909,0.376,13.4545,17.5455,0.8038,12.3636,25.6364,38.0,16.9091,6.4545,3.4545,11.7273,19.4545,86.0,74.3336,115.2345,16.5455,36.0,0.4722,0.4915,0.3712,0.6288,0.4465,0.3333,0.1649,0.2433,0.629,0.1624,0.115,0.0392,14.2448,117.9828,-15.2574,11
Marist,0.4286,200.0,26.1429,59.0,0.4429,6.7143,22.4286,0.303,10.8571,14.5714,0.7631,9.1429,25.5714,34.7143,15.4286,8.0,3.5714,12.7143,18.4286,69.8571,69.4929,100.41,-0.4286,200.0,19.2857,53.8571,0.3574,5.2857,22.0,0.2439,16.4286,23.4286,0.6987,8.8571,23.0,31.8571,9.1429,7.4286,2.4286,14.1429,15.4286,60.2857,70.27,86.0086,19.4286,36.5714,0.5265,0.4993,0.3722,0.6278,0.2653,0.196,0.1839,0.2802,0.7424,0.2206,0.1156,0.053,13.8986,86.8868,13.5232,7
Marquette,0.8,205.0,27.3,64.2,0.4264,8.4,27.0,0.3088,17.9,24.9,0.7094,11.6,23.6,35.2,15.7,9.9,2.6,11.5,18.3,80.9,75.927,107.081,-0.8,205.0,26.7,60.6,0.4434,8.3,23.3,0.3554,14.7,19.7,0.7229,9.2,24.7,33.9,16.0,6.6,3.2,14.1,19.9,76.4,74.858,102.144,18.9,37.2,0.5139,0.4908,0.4154,0.5846,0.4023,0.2897,0.1498,0.3224,0.7292,0.2092,0.1299,0.0341,14.8347,100.2448,6.8362,10
Marshall,0.0,200.0,28.0,60.7,0.4606,10.1,27.8,0.3569,13.7,18.0,0.7691,9.1,25.8,34.9,17.1,5.8,5.3,13.7,22.2,79.8,73.849,108.262,0.0,200.6,25.7,60.8,0.4225,7.5,23.3,0.3116,18.8,27.0,0.6955,10.4,21.1,31.5,13.2,8.4,2.3,11.3,17.2,77.7,74.525,104.435,17.9,32.9,0.5478,0.5444,0.4607,0.5393,0.2972,0.2267,0.1836,0.302,0.7188,0.2317,0.0778,0.0727,14.7698,105.1087,3.1533,10
Maryland,0.1667,202.0833,23.25,57.5,0.404,7.5,24.8333,0.2973,21.5,28.75,0.7425,11.0,22.5833,33.5833,11.4167,6.25,2.4167,14.4167,17.6667,75.5,74.5733,101.0933,-0.1667,202.0833,28.0,60.9167,0.4573,10.1667,27.8333,0.3598,13.1667,18.1667,0.719,9.6667,23.1667,32.8333,17.9167,8.0833,4.0833,14.0,22.0,79.3333,73.8775,107.335,15.75,32.6667,0.4902,0.4692,0.4344,0.5656,0.514,0.3844,0.1947,0.3214,0.6986,0.1527,0.0837,0.0325,14.7678,106.1467,-5.0533,12
Maryland Eastern Shore,-0.8182,206.8182,22.1818,54.0,0.4145,5.1818,18.4545,0.283,7.0909,11.2727,0.6458,8.3636,21.0,29.3636,12.2727,5.0909,2.7273,15.4545,16.9091,56.6364,66.4445,86.1018,0.8182,206.8182,24.8182,57.9091,0.4291,7.9091,24.9091,0.3259,15.2727,20.0909,0.7436,11.0,21.9091,32.9091,14.1818,10.0909,4.0909,10.5455,14.5455,72.8182,66.9964,109.1664,17.0,35.5455,0.477,0.4616,0.3367,0.6633,0.2068,0.1312,0.2287,0.2641,0.6621,0.1872,0.0749,0.0411,12.8424,109.9641,-23.8623,11
Massachusetts,0.6,200.0,28.2,61.1,0.4609,6.9,20.9,0.3343,14.7,22.9,0.6374,10.2,22.8,33.0,17.2,7.0,2.3,13.8,21.2,78.0,75.578,103.439,-0.6,200.0,23.7,54.4,0.4366,5.6,21.5,0.2554,18.5,25.9,0.7139,6.8,19.9,26.7,12.7,7.9,3.4,13.3,20.4,71.5,73.202,97.91,21.3,40.2,0.5326,0.5177,0.3447,0.6553,0.3809,0.245,0.1813,0.3334,0.7737,0.2264,0.0919,0.0305,15.1156,94.862,8.577,10
McNeese,-0.25,200.0,27.0,58.375,0.4648,5.75,18.5,0.3095,17.375,22.875,0.7518,10.5,19.0,29.5,12.875,11.125,4.5,9.625,20.875,77.125,68.3675,112.9812,0.25,200.0,21.0,52.875,0.4005,9.0,26.375,0.3421,16.25,22.5,0.7131,10.875,19.875,30.75,12.5,4.75,3.5,16.125,18.875,67.25,68.8125,98.0338,21.25,39.875,0.5351,0.5157,0.3224,0.6776,0.4092,0.3126,0.1417,0.3498,0.6453,0.1858,0.1598,0.0659,13.6735,98.8002,14.1811,8
Memphis,0.5,200.0,26.625,61.625,0.432,7.125,22.0,0.31,15.625,22.25,0.7004,11.75,20.875,32.625,14.75,8.25,4.25,12.75,20.75,76.0,73.195,104.21,-0.5,200.0,24.75,60.0,0.4131,8.0,25.125,0.3271,16.625,24.125,0.7049,11.0,21.875,32.875,14.75,7.625,4.0,12.125,18.5,74.125,72.5838,102.1825,19.5,39.625,0.4898,0.49,0.3594,0.6406,0.3628,0.2552,0.1737,0.3459,0.6599,0.2021,0.1112,0.0588,14.639,101.4918,2.7182,8
Mercer,-0.1429,200.0,27.2857,60.8571,0.4489,9.0,25.5714,0.3576,16.5714,22.4286,0.7393,9.7143,21.8571,31.5714,13.8571,9.1429,2.8571,10.7143,17.0,80.1429,72.51,111.1857,0.1429,200.0,29.2857,65.0,0.4514,8.5714,25.0,0.3416,12.7143,18.2857,0.6994,12.4286,23.4286,35.8571,15.7143,6.2857,3.1429,13.0,20.1429,79.8571,74.2557,107.2743,18.2857,35.2857,0.515,0.5228,0.4217,0.5783,0.3732,0.2755,0.1462,0.3014,0.6399,0.1934,0.1268,0.0394,14.502,109.6837,1.5021,7
