date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2025-11-07,Tulsa,Rhode Island,0,200,28,54,0.519,11,22,0.5,15,24,0.625,9,17,26,18,9,1,14,19,82,70.4,116.48
2025-11-07,Rhode Island,Tulsa,0,200,22,48,0.458,6,18,0.333,15,19,0.789,8,16,24,13,8,3,16,21,65,65.03,99.96
2025-11-07,Siena,Brown,-1,200,23,57,0.404,1,14,0.071,15,22,0.682,13,28,41,11,9,2,13,10,62,67.45,91.92
2025-11-07,Brown,Siena,1,200,17,58,0.293,4,24,0.167,8,10,0.8,9,21,30,10,8,5,15,17,46,68.75,66.91
2025-11-07,Tennessee Tech,Charlotte,-1,200,24,47,0.511,5,12,0.417,12,25,0.48,8,16,24,8,8,2,16,21,65,66.88,97.2
2025-11-07,Charlotte,Tennessee Tech,1,200,23,47,0.489,10,21,0.476,14,20,0.7,7,21,28,16,7,5,18,20,70,67.5,103.7
2025-11-07,Georgia St.,Cincinnati,-1,200,21,57,0.368,6,20,0.3,16,18,0.889,7,24,31,13,8,3,15,22,64,73.55,87.02
2025-11-07,Cincinnati,Georgia St.,1,200,25,62,0.403,7,31,0.226,17,26,0.654,12,26,38,15,8,3,15,19,74,77.35,95.67
2025-11-07,Washington St.,Davidson,-1,200,22,55,0.4,6,21,0.286,19,23,0.826,9,17,26,7,8,2,15,18,69,71.92,95.93
2025-11-07,Davidson,Washington St.,1,200,28,49,0.571,12,24,0.5,17,21,0.81,4,21,25,18,7,5,13,18,85,67.97,125.05
2025-11-07,Sacred Heart,Duquesne,-1,200,21,56,0.375,7,30,0.233,31,46,0.674,13,23,36,9,5,3,11,23,80,75.85,105.47
2025-11-07,Duquesne,Sacred Heart,1,200,29,66,0.439,8,35,0.229,26,39,0.667,12,27,39,19,6,1,7,31,92,79.53,115.69
2025-11-07,Hofstra,Iona,-1,200,28,63,0.444,7,25,0.28,10,18,0.556,13,24,37,12,7,4,15,24,73,73.55,99.25
2025-11-07,Iona,Hofstra,1,200,27,60,0.45,9,26,0.346,18,27,0.667,10,24,34,16,8,0,13,17,81,75.83,106.82
2025-11-07,Western Illinois,Iowa,-1,200,19,47,0.404,5,15,0.333,15,18,0.833,5,22,27,4,1,2,12,16,58,62.55,92.73
