date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2019-11-05,Michigan St.,Kentucky,-1,200,22,56,0.393,5,26,0.192,13,18,0.722,7,23,30,14,4,2,15,22,62,72.55,85.46
2019-11-05,Kentucky,Michigan St.,1,200,19,50,0.38,6,18,0.333,25,32,0.781,5,25,30,9,4,3,10,20,69,70.2,98.29
2019-11-05,Kansas,Duke,-1,200,23,50,0.46,4,9,0.444,16,26,0.615,10,30,40,13,11,5,26,20,66,78.35,84.24
2019-11-05,Duke,Kansas,1,200,23,64,0.359,8,24,0.333,14,23,0.609,11,19,30,12,11,3,16,17,68,79.92,85.08
2019-11-05,Louisville,Miami FL,-1,200,34,63,0.54,9,19,0.474,10,14,0.714,10,28,38,14,8,4,12,17,87,71.65,121.42
2019-11-05,Miami FL,Louisville,1,200,30,69,0.435,10,24,0.417,4,11,0.364,11,19,30,12,6,4,10,13,74,73.22,101.06
2019-11-05,North Florida,Florida,-1,200,21,57,0.368,11,34,0.324,6,10,0.6,10,22,32,13,3,0,18,18,59,69.75,84.59
2019-11-05,Florida,North Florida,1,200,29,69,0.42,3,15,0.2,13,18,0.722,18,25,43,15,7,3,10,16,74,69.55,106.4
2019-11-05,Holy Cross,Maryland,-1,200,30,67,0.448,7,27,0.259,4,5,0.8,3,23,26,15,3,0,14,19,71,80.38,88.34
2019-11-05,Maryland,Holy Cross,1,200,37,76,0.487,5,27,0.185,16,24,0.667,17,28,45,15,8,8,8,6,95,78.4,121.17
2019-11-05,Alabama St.,Gonzaga,-1,200,24,49,0.49,9,16,0.563,7,12,0.583,4,15,19,14,3,1,20,24,64,70.7,90.52
2019-11-05,Gonzaga,Alabama St.,1,200,34,59,0.576,10,20,0.5,17,27,0.63,9,22,31,24,11,3,8,17,95,70.83,134.13
2019-11-05,Army,Villanova,-1,200,20,64,0.313,7,30,0.233,7,10,0.7,4,18,22,11,9,3,17,16,54,81.75,66.06
2019-11-05,Villanova,Army,1,200,36,69,0.522,12,30,0.4,13,16,0.813,12,38,50,22,9,4,17,14,97,81.6,118.87
2019-11-05,Wagner,Seton Hall,-1,200,25,61,0.41,5,23,0.217,16,26,0.615,12,23,35,12,4,0,19,26,71,80.35,88.36
2019-11-05,Seton Hall,Wagner,1,200,37,60,0.617,9,24,0.375,22,32,0.688,6,30,36,20,14,5,10,25,105,79.2,132.58
2019-11-05,Eastern Illinois,Texas Tech,-1,200,23,57,0.404,6,16,0.375,8,13,0.615,5,23,28,10,5,1,14,20,60,72.17,83.13
2019-11-05,Texas Tech,Eastern Illinois,1,200,32,58,0.552,8,15,0.533,13,19,0.684,4,29,33,25,7,5,13,16,85,76.03,111.81
2019-11-05,South Carolina St.,Memphis,-1,200,21,58,0.362,8,25,0.32,14,18,0.778,5,15,20,9,2,1,18,20,64,79.55,80.45
2019-11-05,Memphis,South Carolina St.,1,200,36,66,0.545,6,20,0.3,19,21,0.905,12,30,42,21,8,10,13,21,97,76.97,126.01
2019-11-05,Fresno St.,Oregon,-1,200,19,55,0.345,9,36,0.25,10,14,0.714,7,21,28,14,5,7,17,19,57,71.65,79.55
2019-11-05,Oregon,Fresno St.,1,200,25,60,0.417,1,13,0.077,20,27,0.741,15,28,43,11,8,2,13,12,71,70.83,100.25
2019-11-05,Central Arkansas,Baylor,-1,200,22,61,0.361,4,23,0.174,13,24,0.542,6,17,23,11,5,6,15,19,61,81.4,74.94
2019-11-05,Baylor,Central Arkansas,1,200,40,71,0.563,18,33,0.545,7,14,0.5,11,37,48,25,6,2,14,20,105,80.65,130.19
2019-11-05,Montana St.,Utah St.,-1,200,24,57,0.421,9,19,0.474,16,26,0.615,8,25,33,13,6,3,15,31,73,76.35,95.61
2019-11-05,Utah St.,Montana St.,1,200,20,53,0.377,6,18,0.333,35,45,0.778,8,26,34,12,8,5,9,23,81,75.38,107.46
2019-11-05,Jacksonville,Xavier,-1,200,23,56,0.411,5,21,0.238,6,12,0.5,5,26,31,10,7,1,17,19,57,73.7,77.34
2019-11-05,Xavier,Jacksonville,1,200,29,60,0.483,4,23,0.174,14,24,0.583,10,29,39,11,10,2,11,15,76,72.4,104.97
2019-11-05,Saint Mary's,Wisconsin,-1,225,24,61,0.393,8,18,0.444,9,13,0.692,11,22,33,10,6,2,14,20,65,70.17,92.63
2019-11-05,Wisconsin,Saint Mary's,1,225,22,52,0.423,5,19,0.263,14,20,0.7,6,20,26,8,1,4,14,14,63,69.5,90.65
2019-11-05,Georgia Southern,Auburn,-1,200,27,57,0.474,5,18,0.278,15,21,0.714,4,21,25,8,10,2,18,21,74,80.97,91.39
2019-11-05,Auburn,Georgia Southern,1,200,29,58,0.5,7,22,0.318,18,25,0.72,10,29,39,13,6,2,21,21,83,80.88,102.63
2019-11-05,Saint Francis,VCU,-1,200,21,65,0.323,6,21,0.286,10,18,0.556,11,22,33,9,12,0,17,20,58,79.55,72.91
2019-11-05,VCU,Saint Francis,1,200,27,55,0.491,3,13,0.231,15,25,0.6,7,29,36,13,12,4,17,18,72,76.88,93.66
2019-11-05,Houston Christian,Tulsa,-1,200,24,67,0.358,9,29,0.31,15,18,0.833,16,24,40,9,7,2,16,20,72,75.55,95.3
2019-11-05,Tulsa,Houston Christian,1,200,28,62,0.452,3,14,0.214,21,27,0.778,9,27,36,12,12,2,11,16,80,76.83,104.13
2019-11-05,Princeton,Duquesne,-1,200,27,57,0.474,7,22,0.318,6,14,0.429,12,17,29,11,1,0,17,14,67,68.65,97.6
2019-11-05,Duquesne,Princeton,1,200,36,63,0.571,13,25,0.52,9,10,0.9,6,19,25,13,10,5,8,15,94,69.75,134.77
2019-11-05,Northeastern,Boston University,-1,200,28,55,0.509,5,16,0.313,11,14,0.786,5,23,28,10,10,1,12,18,72,68.65,104.88
2019-11-05,Boston University,Northeastern,1,200,27,55,0.491,8,26,0.308,5,12,0.417,7,23,30,11,5,4,15,15,67,68.7,97.53
2019-11-05,Brown,Bryant,-1,200,23,53,0.434,5,17,0.294,22,31,0.71,13,26,39,9,7,2,15,18,73,69.72,104.7
2019-11-05,Bryant,Brown,1,200,25,62,0.403,8,28,0.286,13,21,0.619,10,22,32,14,9,0,11,24,71,72.97,97.29
