Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM
324,Army,-15.635716955101003,96.6,112.2,69.4,10,-12.39,-0.4057146193876253,0.8713717750794134,10.456461300952961,-13.976646344815173
325,Lafayette,-19.99875620924756,95.1,115.1,70.5,10,-7.1,-1.612344526155945,0.614243850842621,7.3709262101114525,-14.525485580463357
326,New Haven,-13.19052632585354,95.1,108.3,66.0,8,-15.56,0.2961842092683076,0.885398704552338,10.624784454628056,-14.542227717085801
327,VMI,-19.93297695982986,95.8,115.8,69.8,9,-8.53,-1.4253721199787324,0.6658675834604221,7.9904110015250644,-14.570277226328244
328,North Florida,-16.794954607295438,100.2,117.0,73.6,8,-13.29,-0.4381193259119298,0.8669500578282541,10.403400693939048,-14.813611713111154
329,Florida A&M,-20.439859597306736,90.7,111.1,73.0,5,-11.87,-1.071232449663342,0.7529710157369912,9.035652188843894,-14.922889699033155
330,Central Michigan,-19.486766977590676,98.9,118.4,68.0,9,-10.28,-1.1508458721988346,0.7347748335344162,8.817298002412993,-14.93058746770101
331,North Dakota,-18.622369137277758,90.7,109.3,72.7,11,-10.52,-1.0127961421597198,0.7657818925759449,9.189382710911339,-14.934501512316531
332,Stonehill,-17.739109873084416,91.9,109.6,69.7,9,-12.54,-0.6498887341355521,0.8348135428932575,10.01776251471909,-15.000436069781838
333,Maryland Eastern Shore,-17.13964498464705,93.1,110.2,64.7,13,-13.38,-0.469955623080881,0.8624812635462004,10.349775162554405,-15.47318438657997
334,Ball St.,-20.116996630683005,89.9,110.0,67.9,10,-10.32,-1.2246245788353756,0.717166674332583,8.606000091990996,-15.585503913922986
335,Alcorn St.,-16.83772637251002,98.1,115.0,74.2,10,-14.57,-0.28346579656375237,0.8869382310028905,10.643258772034686,-15.668531194881933
336,IU Indy,-16.854666649547156,101.0,117.8,81.1,11,-14.57,-0.2855833311933944,0.886683167743639,10.640198012923667,-15.731326394980771
337,Prairie View A&M,-14.756930315109642,97.5,112.3,75.8,7,-16.56,0.22538371061129459,0.8937412880698259,10.72489545683791,-15.847923146008549
338,Louisiana,-21.69975989876474,89.5,111.2,66.1,11,-6.16,-1.9424699873455924,0.5172521524017956,6.207025828821546,-16.0941606496629
339,Loyola MD,-21.949011552791703,96.6,118.6,72.1,10,-7.13,-1.852376444098963,0.5441716128217194,6.530059353860633,-16.094887079688974
340,Southern Indiana,-17.00601241630791,90.8,107.8,75.6,8,-15.48,-0.19075155203848881,0.8976239242149798,10.771487090579758,-16.13035334023109
341,Southern Utah,-18.230367018620015,98.0,116.3,74.1,9,-14.55,-0.4600458773275018,0.8638856356516298,10.366627627819557,-16.260328912401846
342,Arkansas Pine Bluff,-14.034743073049,98.5,112.6,76.8,11,-18.84,0.6006571158688749,0.8428000873126483,10.11360104775178,-16.33650350610895
343,Stetson,-20.344115896065006,94.8,115.2,69.1,10,-13.23,-0.8892644870081257,0.7913170534540696,9.495804641448835,-16.87904964268062
344,Little Rock,-23.504898946382184,95.7,119.2,67.2,9,-6.49,-2.1268623682977728,0.4620146218669964,5.544175462403956,-17.01889460205458
345,North Carolina Central,-20.87509400538454,92.6,113.4,69.9,9,-13.94,-0.8668867506730675,0.7957167710621326,9.548601252745591,-17.304989370248173
346,Chicago St.,-19.580938594890355,96.0,115.6,73.0,10,-15.22,-0.5451173243612943,0.8514297659249088,10.217157191098906,-17.377048369199187
347,Northern Illinois,-20.548305860808682,97.6,118.2,70.6,9,-14.61,-0.7422882326010853,0.8189506412947609,9.827407695537131,-17.448667628148655
348,Loyola Chicago,-22.236237545286713,97.6,119.9,69.0,11,3.19,-3.1782796931608392,0.19561404594533865,2.347368551344064,-17.76458830871869
349,Jackson St.,-23.877617537017315,88.7,112.6,71.8,10,-5.87,-2.2509521921271642,0.4252781814404438,5.103338177285326,-17.79293870774865
350,NJIT,-21.436876168451676,90.0,111.4,71.5,12,-13.11,-1.0408595210564595,0.7596877866085727,9.116253439302874,-17.84201907282653
351,Louisiana Monroe,-21.250909475670625,97.8,119.0,72.5,9,-15.56,-0.711363684458828,0.8243878989163634,9.892654786996362,-18.271010488387724
352,Rider,-25.092602484502066,85.7,110.8,69.0,8,-10.9,-1.7740753105627582,0.5673652965489532,6.808383558587439,-18.56733380634065
353,The Citadel,-23.340380925500938,97.3,120.7,68.1,8,-14.38,-1.1200476156876171,0.7419144577081065,8.902973492497278,-18.6208542754815
354,Fairleigh Dickinson,-23.451137856989533,95.0,118.5,71.2,8,-14.31,-1.1426422321236915,0.7366888724388952,8.840266469266743,-18.652514590809822
355,Western Illinois,-24.69464663498104,93.3,118.0,66.5,8,-15.07,-1.20308082937263,0.72238099484768,8.66857193817216,-19.68930232328539
356,Delaware St.,-25.1110648279425,87.7,112.8,69.4,9,-14.94,-1.2713831034928125,0.7056480158486733,8.467776190184079,-20.18048295872503
357,Niagara,-23.985199467361824,91.9,115.9,67.2,11,-15.58,-1.050649933420228,0.7575364159576065,9.090436991491277,-20.182049929533022
358,Canisius,-20.1525557061252,92.5,112.6,66.4,10,-20.64,0.06093053673435023,0.9110791684785344,10.932950021742414,-20.407140181690345
359,Binghamton,-28.174439775256573,91.4,119.6,69.0,9,-11.52,-2.0818049719070717,0.47547819741143355,5.705738368937203,-21.71261693747526
360,Saint Francis,-28.78732050391622,88.3,117.1,73.4,9,-14.09,-1.8371650629895275,0.548695638563555,6.58434766276266,-22.5777395831785
361,South Carolina St.,-28.146532632235804,88.6,116.7,73.7,11,-7.91,-2.5295665790294755,0.3462690288349753,4.155228346019704,-22.59812306038641
362,Morgan St.,-29.143578800679066,93.6,122.8,72.0,9,-14.85,-1.7866973500848833,0.5636436943616782,6.7637243323401375,-23.010648238576156
363,Gardner Webb,-28.89290687121344,91.1,119.9,74.5,11,-13.0,-1.9866133589016801,0.5040159059707845,6.048190871649414,-23.254576388751673
364,Mississippi Valley St.,-31.594403125310947,88.1,119.7,72.3,9,-23.82,-0.9718003906638684,0.7744898754433895,9.293878505320674,-27.64475635811445
365,Coppin St.,-34.43253807363209,89.0,123.4,72.3,13,-13.31,-2.6403172592040107,0.3168294950321868,3.801953940386242,-29.65292034911416
