date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2020-11-25,Villanova,Boston College,-1,200,30,60,0.5,8,23,0.348,8,12,0.667,9,23,32,12,3,3,8,17,76,64.7,117.47
2020-11-25,Boston College,Villanova,1,200,26,55,0.473,8,26,0.308,7,11,0.636,6,24,30,10,6,9,10,16,67,64.22,104.32
2020-11-25,Towson,Virginia,-1,200,18,49,0.367,7,16,0.438,11,14,0.786,6,18,24,9,1,0,9,9,54,58.65,92.07
2020-11-25,Virginia,Towson,1,200,35,63,0.556,15,29,0.517,4,4,1.0,8,26,34,17,7,5,6,14,89,62.9,141.49
2020-11-25,North Carolina Central,Iowa,-1,200,24,57,0.421,6,19,0.316,13,17,0.765,9,16,25,13,4,2,15,24,67,71.08,94.27
2020-11-25,Iowa,North Carolina Central,1,200,32,66,0.485,10,30,0.333,23,29,0.793,20,24,44,20,9,7,9,16,97,68.78,141.04
2020-11-25,Eastern Illinois,Wisconsin,-1,200,23,66,0.348,6,19,0.316,15,15,1.0,10,25,35,8,4,4,10,20,67,73.12,91.62
2020-11-25,Wisconsin,Eastern Illinois,1,200,24,57,0.421,7,23,0.304,22,29,0.759,7,28,35,16,6,10,7,15,77,70.78,108.8
2020-11-25,North Carolina A&T,Illinois,-1,200,22,64,0.344,5,19,0.263,11,21,0.524,4,12,16,10,9,0,12,21,60,81.97,73.19
2020-11-25,Illinois,North Carolina A&T,1,200,44,75,0.587,17,31,0.548,17,24,0.708,18,40,58,31,5,4,15,18,122,83.4,146.28
2020-11-25,Morehead St.,Kentucky,-1,200,17,50,0.34,3,21,0.143,8,16,0.5,9,13,22,7,5,1,19,18,45,67.6,66.57
2020-11-25,Kentucky,Morehead St.,1,200,33,59,0.559,6,16,0.375,9,14,0.643,9,26,35,18,8,6,15,18,81,71.65,113.05
2020-11-25,Eastern Michigan,Michigan St.,-1,200,26,64,0.406,4,21,0.19,11,16,0.688,8,17,25,14,8,3,9,20,67,72.6,92.29
2020-11-25,Michigan St.,Eastern Michigan,1,200,30,55,0.545,12,28,0.429,11,16,0.688,5,26,31,27,2,5,17,15,83,74.6,111.26
2020-11-25,Northwestern St.,Texas Tech,-1,200,21,61,0.344,5,23,0.217,11,20,0.55,8,23,31,8,2,1,19,21,58,81.5,71.17
2020-11-25,Texas Tech,Northwestern St.,1,200,38,70,0.543,8,20,0.4,17,26,0.654,13,37,50,22,13,2,10,14,101,79.35,127.28
2020-11-25,South Dakota St.,West Virginia,-1,200,27,62,0.435,7,19,0.368,10,13,0.769,10,26,36,16,2,2,13,17,71,71.17,99.75
2020-11-25,West Virginia,South Dakota St.,1,200,30,77,0.39,8,32,0.25,11,14,0.786,15,23,38,11,9,6,3,16,79,71.65,110.26
2020-11-25,Charleston,North Carolina,-1,200,24,60,0.4,8,23,0.348,4,10,0.4,6,25,31,13,5,3,13,20,60,71.75,83.62
2020-11-25,North Carolina,Charleston,1,200,28,71,0.394,4,18,0.222,19,24,0.792,16,30,46,12,10,9,9,16,79,75.4,104.77
2020-11-25,Lamar,Houston,-1,200,15,50,0.3,1,13,0.077,14,22,0.636,7,21,28,8,3,0,22,19,45,75.45,59.64
2020-11-25,Houston,Lamar,1,200,30,72,0.417,13,33,0.394,16,21,0.762,18,29,47,16,11,8,9,18,89,72.97,121.96
2020-11-25,Arizona St.,Rhode Island,-1,200,27,61,0.443,6,20,0.3,34,46,0.739,13,22,35,9,7,4,12,26,94,81.85,114.84
2020-11-25,Rhode Island,Arizona St.,1,200,29,56,0.518,9,18,0.5,21,35,0.6,7,26,33,14,8,2,16,29,88,81.62,107.81
2020-11-25,UT Rio Grande Valley,Texas,-1,200,18,69,0.261,4,21,0.19,15,26,0.577,14,20,34,4,9,1,8,27,55,75.35,72.99
2020-11-25,Texas,UT Rio Grande Valley,1,200,31,54,0.574,7,17,0.412,22,34,0.647,9,43,52,16,5,4,17,24,91,78.15,116.44
2020-11-25,UCLA,San Diego St.,-1,200,17,43,0.395,7,21,0.333,17,24,0.708,6,20,26,10,1,2,14,18,58,62.4,92.95
