date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2021-11-09,Virginia,Navy,1,200,21,51,0.412,4,16,0.25,12,17,0.706,7,20,27,11,12,4,14,17,58,66.08,87.78
2021-11-09,Alcorn St.,Washington St.,-1,200,23,60,0.383,4,17,0.235,17,21,0.81,8,13,21,7,5,3,11,28,67,72.97,91.81
2021-11-09,Washington St.,Alcorn St.,1,200,25,58,0.431,11,36,0.306,24,30,0.8,17,23,40,16,5,4,14,20,85,69.25,122.74
2021-11-09,UC San Diego,California,-1,200,24,46,0.522,10,22,0.455,22,28,0.786,1,29,30,10,5,2,12,20,80,70.3,113.8
2021-11-09,California,UC San Diego,1,200,24,60,0.4,5,18,0.278,14,24,0.583,10,21,31,4,5,1,9,20,67,70.4,95.17
2021-11-09,Bethune Cookman,South Florida,-1,200,22,59,0.373,5,23,0.217,5,6,0.833,6,24,30,12,5,4,10,22,54,65.85,82.0
2021-11-09,South Florida,Bethune Cookman,1,200,28,54,0.519,3,13,0.231,16,23,0.696,4,29,33,15,6,3,7,9,75,67.92,110.42
2021-11-09,Southern Illinois,Little Rock,-1,200,23,51,0.451,11,30,0.367,9,10,0.9,6,28,34,14,5,1,21,19,66,70.75,93.29
2021-11-09,Little Rock,Southern Illinois,1,200,27,59,0.458,2,15,0.133,13,18,0.722,4,18,22,12,10,2,10,11,69,73.55,93.81
2021-11-09,IUPUI,Butler,-1,200,18,48,0.375,3,23,0.13,8,15,0.533,3,18,21,7,5,5,7,20,47,59.12,79.49
2021-11-09,Butler,IUPUI,1,200,15,44,0.341,7,25,0.28,19,23,0.826,9,25,34,11,3,1,14,14,56,59.92,93.45
2021-11-09,Eastern Michigan,Indiana,-1,200,20,64,0.313,9,23,0.391,13,16,0.813,5,34,39,8,6,3,11,20,62,77.6,79.9
2021-11-09,Indiana,Eastern Michigan,1,200,26,62,0.419,4,24,0.167,12,20,0.6,4,35,39,13,3,6,8,15,68,75.5,90.07
2021-11-09,Saint Peter's,VCU,-1,200,18,58,0.31,7,21,0.333,11,14,0.786,10,25,35,11,11,2,19,24,54,73.65,73.32
2021-11-09,VCU,Saint Peter's,1,200,18,43,0.419,2,14,0.143,19,27,0.704,4,26,30,12,10,12,19,15,57,70.83,80.48
2021-11-09,UNC Asheville,UAB,-1,200,27,59,0.458,10,19,0.526,13,19,0.684,8,18,26,14,3,5,15,13,77,75.03,102.63
2021-11-09,UAB,UNC Asheville,1,200,40,71,0.563,6,16,0.375,16,23,0.696,13,23,36,13,12,5,5,19,102,73.92,137.98
2021-11-09,Towson,Albany,-1,200,30,64,0.469,7,24,0.292,10,22,0.455,13,25,38,14,10,4,9,16,77,70.45,109.3
2021-11-09,Albany,Towson,1,200,19,53,0.358,5,24,0.208,13,14,0.929,5,22,27,8,3,5,14,19,56,68.65,81.57
2021-11-09,Portland,Arizona St.,-1,200,22,54,0.407,6,24,0.25,10,11,0.909,2,22,24,10,9,1,21,14,60,78.22,76.7
2021-11-09,Arizona St.,Portland,1,200,31,66,0.47,7,26,0.269,7,9,0.778,13,29,42,15,10,3,19,16,76,76.28,99.64
2021-11-09,Cornell,Binghamton,-1,200,27,57,0.474,4,20,0.2,18,32,0.563,7,29,36,10,12,1,14,17,76,79.2,95.96
2021-11-09,Binghamton,Cornell,1,200,28,71,0.394,6,35,0.171,7,15,0.467,16,26,42,9,8,1,18,24,69,80.12,86.12
2021-11-09,Monmouth,Charlotte,-1,200,24,55,0.436,4,19,0.211,14,15,0.933,8,29,37,12,2,4,15,21,66,69.12,95.48
