date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2024-11-04,Howard,Kansas,-1,200,22,58,0.379,8,22,0.364,5,12,0.417,8,18,26,12,9,1,15,12,57,70.7,80.62
2024-11-04,Kansas,Howard,1,200,32,53,0.604,11,22,0.5,12,16,0.75,5,28,33,20,11,7,14,14,87,69.6,125.0
2024-11-04,UNC Asheville,Alabama,-1,200,20,73,0.274,6,26,0.231,8,14,0.571,13,12,25,8,6,2,8,22,54,74.65,72.34
2024-11-04,Alabama,UNC Asheville,1,200,38,60,0.633,8,18,0.444,26,37,0.703,14,40,54,21,5,6,10,12,110,73.58,149.51
2024-11-04,Jackson State,Houston,-1,200,13,47,0.277,4,23,0.174,10,15,0.667,7,16,23,8,3,3,20,14,40,67.12,59.59
2024-11-04,Houston,Jackson State,1,200,39,67,0.582,12,20,0.6,7,7,1.0,11,26,37,19,12,6,9,13,97,68.33,141.97
2024-11-04,Mississippi Valley State,Iowa State,-1,200,19,51,0.373,1,12,0.083,5,11,0.455,5,24,29,8,9,1,23,19,44,74.22,59.28
2024-11-04,Iowa State,Mississippi Valley State,1,200,28,59,0.475,5,21,0.238,22,29,0.759,11,25,36,16,16,6,12,12,83,73.78,112.5
2024-11-04,Baylor,Gonzaga,-1,200,23,62,0.371,3,21,0.143,14,20,0.7,13,18,31,11,8,4,11,14,63,69.5,90.65
2024-11-04,Gonzaga,Baylor,1,200,40,71,0.563,13,31,0.419,8,13,0.615,15,28,43,24,8,3,11,18,101,73.17,138.03
2024-11-04,Maine,Duke,-1,200,21,57,0.368,3,14,0.214,17,18,0.944,6,18,24,4,9,0,13,19,62,72.55,85.46
2024-11-04,Duke,Maine,1,200,35,63,0.556,11,29,0.379,15,20,0.75,10,29,39,17,10,3,12,18,96,74.5,128.86
2024-11-04,Elon,North Carolina,-1,200,26,61,0.426,13,29,0.448,11,14,0.786,9,28,37,11,4,5,15,12,76,73.65,103.19
2024-11-04,North Carolina,Elon,1,200,32,80,0.4,13,32,0.406,13,16,0.813,15,24,39,22,11,7,6,13,90,78.6,114.5
2024-11-04,Canisius,Arizona,-1,200,22,51,0.431,10,26,0.385,10,13,0.769,4,18,22,12,7,1,19,20,64,72.17,88.67
2024-11-04,Arizona,Canisius,1,200,33,68,0.485,8,28,0.286,19,27,0.704,15,25,40,20,12,3,9,15,93,74.83,124.29
2024-11-04,Gardner-Webb,Tennessee,-1,200,24,55,0.436,6,23,0.261,10,15,0.667,7,20,27,8,6,2,14,19,64,69.12,92.59
2024-11-04,Tennessee,Gardner-Webb,1,200,28,55,0.509,8,23,0.348,16,21,0.762,7,21,28,16,9,2,10,15,80,67.97,117.69
2024-11-04,Texas A&M,UCF,-1,200,23,63,0.365,7,23,0.304,8,14,0.571,15,27,42,13,4,3,11,24,61,65.65,92.92
2024-11-04,UCF,Texas A&M,1,200,17,50,0.34,8,26,0.308,22,31,0.71,5,19,24,13,9,10,10,17,64,69.72,91.79
2024-11-04,Texas A&M-Corpus Christi,Purdue,-1,200,30,67,0.448,6,19,0.316,7,7,1.0,6,19,25,14,10,0,9,25,73,73.33,99.56
2024-11-04,Purdue,Texas A&M-Corpus Christi,1,200,31,55,0.564,11,26,0.423,17,27,0.63,8,29,37,24,4,6,16,7,90,75.83,118.69
2024-11-04,Stony Brook,Marquette,-1,200,22,60,0.367,7,25,0.28,11,15,0.733,10,16,26,12,3,1,13,14,62,70.12,88.41
2024-11-04,Marquette,Stony Brook,1,200,40,68,0.588,9,31,0.29,13,17,0.765,10,29,39,22,10,2,7,16,102,73.08,139.58
2024-11-04,Ohio State,Texas,-1,200,27,60,0.45,14,28,0.5,12,14,0.857,8,27,35,16,2,2,14,19,80,72.65,110.12
2024-11-04,Texas,Ohio State,1,200,25,68,0.368,7,27,0.259,15,20,0.75,11,19,30,15,5,2,9,14,72,75.5,95.36
2024-11-04,Arkansas-Pine Bluff,Cincinnati,-1,200,20,59,0.339,5,19,0.263,9,14,0.643,7,16,23,7,5,2,16,20,54,74.65,72.34
2024-11-04,Cincinnati,Arkansas-Pine Bluff,1,200,42,72,0.583,12,24,0.5,13,23,0.565,16,31,47,27,10,7,9,12,109,75.92,143.56
