Team,Preseason_AdjEM,Predicted Kenpom Rank
UT Rio Grande Valley,-7.75,251
Marist,-7.75,252
Evansville,-7.76,253
Merrimack,-7.77,254
Presbyterian,-7.81,255
South Carolina St.,-7.91,256
Stephen F. Austin,-7.92,257
Pacific,-7.97,258
Northern Arizona,-8,259
Columbia,-8.19,260
Pepperdine,-8.21,261
Georgia St.,-8.25,262
Cleveland St.,-8.3,263
Bryant,-8.34,264
Saint Peter's,-8.37,265
Northwestern St.,-8.37,266
South Dakota,-8.52,267
Albany,-8.52,268
VMI,-8.53,269
Campbell,-8.73,270
La Salle,-8.82,271
Sacred Heart,-8.83,272
UC Davis,-8.9,273
Charlotte,-8.91,274
Detroit Mercy,-8.93,275
UMBC,-9.16,276
Penn,-9.16,277
LIU,-9.23,278
Tennessee Martin,-9.23,279
Maine,-9.44,280
Valparaiso,-9.49,281
Tennessee St.,-9.61,282
Central Connecticut,-9.71,283
Weber St.,-9.77,284
Houston Christian,-9.78,285
Holy Cross,-9.83,286
Tarleton St.,-9.96,287
Western Carolina,-10.02,288
Morehead St.,-10.06,289
Fresno St.,-10.2,290
Cal St. Bakersfield,-10.21,291
Central Michigan,-10.28,292
Ball St.,-10.32,293
Eastern Washington,-10.32,294
Alabama St.,-10.45,295
North Dakota,-10.52,296
Sacramento St.,-10.59,297
Georgia Southern,-10.71,298
Long Beach St.,-10.79,299
UMass Lowell,-10.82,300
Rider,-10.9,301
Oral Roberts,-10.99,302
Elon,-11.07,303
Western Michigan,-11.12,304
New Orleans,-11.17,305
New Hampshire,-11.24,306
USC Upstate,-11.49,307
Mercyhurst,-11.5,308
Binghamton,-11.52,309
Buffalo,-11.66,310
Tennessee Tech,-11.68,311
Howard,-11.72,312
Florida A&M,-11.87,313
Lindenwood,-11.92,314
East Texas A&M,-12.36,315
Eastern Illinois,-12.39,316
Army,-12.39,317
Fairfield,-12.4,318
Stonehill,-12.54,319
West Georgia,-12.55,320
Coastal Carolina,-12.62,321
Air Force,-12.68,322
Green Bay,-12.73,323
FIU,-12.8,324
Southern Miss,-12.87,325
Eastern Michigan,-12.88,326
Gardner Webb,-13,327
Mercer,-13.05,328
Cal St. Fullerton,-13.07,329
NJIT,-13.11,330
Bellarmine,-13.19,331
Stetson,-13.23,332
North Florida,-13.29,333
Coppin St.,-13.31,334
Maryland Eastern Shore,-13.38,335
Portland,-13.6,336
North Carolina Central,-13.94,337
Saint Francis,-14.09,338
Denver,-14.15,339
Le Moyne,-14.29,340
Fairleigh Dickinson,-14.31,341
The Citadel,-14.38,342
Grambling St.,-14.47,343
Charleston Southern,-14.53,344
Southern Utah,-14.55,345
Alcorn St.,-14.57,346
IU Indy,-14.57,347
Northern Illinois,-14.61,348
Morgan St.,-14.85,349
Wagner,-14.86,350
Delaware St.,-14.94,351
Western Illinois,-15.07,352
Stony Brook,-15.1,353
North Carolina A&T,-15.17,354
Chicago St.,-15.22,355
Southern Indiana,-15.48,356
Alabama A&M,-15.51,357
Louisiana Monroe,-15.56,358
New Haven,-15.56,359
Niagara,-15.58,360
Prairie View A&M,-16.56,361
Central Arkansas,-16.79,362
Arkansas Pine Bluff,-18.84,363
Canisius,-20.64,364
Mississippi Valley St.,-23.82,365
