date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2023-11-06,North Carolina Central,Kansas,-1,200,20,57,0.351,6,23,0.261,10,18,0.556,9,12,21,7,7,1,8,13,56,64.55,86.75
2023-11-06,Kansas,North Carolina Central,1,200,39,56,0.696,13,23,0.565,8,10,0.8,3,33,36,34,4,3,10,13,99,67.75,146.13
2023-11-06,Dartmouth,Duke,-1,200,19,56,0.339,4,18,0.222,12,17,0.706,8,18,26,11,5,1,12,16,54,68.08,79.32
2023-11-06,Duke,Dartmouth,1,200,38,59,0.644,7,17,0.412,9,12,0.75,5,26,31,18,6,6,9,18,92,68.7,133.92
2023-11-06,Samford,Purdue,-1,200,17,68,0.25,5,31,0.161,6,14,0.429,9,19,28,11,11,0,15,19,45,80.65,55.8
2023-11-06,Purdue,Samford,1,200,34,62,0.548,16,29,0.552,14,22,0.636,11,39,50,29,9,10,14,15,98,75.45,129.89
2023-11-06,James Madison,Michigan St.,-1,225,25,68,0.368,8,29,0.276,21,28,0.75,10,35,45,14,5,4,15,32,79,86.3,91.54
2023-11-06,Michigan St.,James Madison,1,225,26,72,0.361,1,20,0.05,23,37,0.622,14,29,43,13,8,5,11,21,76,86.58,87.79
2023-11-06,Northern Illinois,Marquette,-1,200,26,70,0.371,7,26,0.269,11,16,0.688,16,22,38,10,6,4,14,13,70,75.6,92.59
2023-11-06,Marquette,Northern Illinois,1,200,35,67,0.522,9,25,0.36,13,21,0.619,11,26,37,20,8,2,8,15,92,73.97,124.37
2023-11-06,Northern Arizona,Connecticut,-1,200,20,59,0.339,3,15,0.2,9,16,0.563,6,16,22,8,4,4,10,24,52,70.6,73.65
2023-11-06,Connecticut,Northern Arizona,1,200,32,57,0.561,7,25,0.28,24,37,0.649,11,33,44,15,5,10,8,19,95,71.58,132.73
2023-11-06,Louisiana Monroe,Houston,-1,200,11,39,0.282,3,16,0.188,6,17,0.353,10,17,27,7,4,2,24,22,31,61.08,50.76
2023-11-06,Houston,Louisiana Monroe,1,200,26,61,0.426,11,35,0.314,21,29,0.724,20,20,40,19,15,5,10,19,84,64.78,129.68
2023-11-06,Tennessee Tech,Tennessee,-1,200,14,51,0.275,2,12,0.167,12,19,0.632,5,22,27,5,5,0,16,15,42,71.03,59.13
2023-11-06,Tennessee,Tennessee Tech,1,200,29,63,0.46,12,30,0.4,10,10,1.0,7,32,39,22,7,8,10,17,80,70.75,113.07
2023-11-06,Morgan St.,Arizona,-1,200,22,56,0.393,7,22,0.318,8,15,0.533,6,17,23,10,3,6,25,25,59,82.12,71.84
2023-11-06,Arizona,Morgan St.,1,200,42,76,0.553,12,27,0.444,26,32,0.813,20,27,47,26,16,7,7,16,122,78.2,156.01
2023-11-06,NJIT,Miami FL,-1,200,23,68,0.338,9,30,0.3,5,11,0.455,9,22,31,12,6,2,16,13,60,80.22,74.79
2023-11-06,Miami FL,NJIT,1,200,39,72,0.542,12,28,0.429,11,17,0.647,11,33,44,23,10,7,9,12,101,78.08,129.36
2023-11-06,Alcorn St.,Arkansas,-1,200,20,51,0.392,3,9,0.333,16,26,0.615,6,18,24,7,7,3,16,27,59,73.35,80.44
2023-11-06,Arkansas,Alcorn St.,1,200,28,54,0.519,12,30,0.4,25,37,0.676,13,28,41,20,10,4,14,22,93,72.58,128.14
2023-11-06,Texas A&M-Commerce,Texas A&M,-1,200,16,54,0.296,4,28,0.143,10,14,0.714,3,14,17,9,9,5,9,18,46,66.65,69.02
2023-11-06,Texas A&M,Texas A&M-Commerce,1,200,28,60,0.467,11,28,0.393,11,17,0.647,12,30,42,21,6,3,11,11,78,67.08,116.29
2023-11-06,New Mexico St.,Kentucky,-1,200,18,56,0.321,5,23,0.217,5,5,1.0,6,25,31,10,2,2,18,16,46,70.38,65.36
2023-11-06,Kentucky,New Mexico St.,1,200,32,65,0.492,9,29,0.31,13,19,0.684,8,31,39,17,13,3,6,11,86,72.03,119.4
2023-11-06,Cal St. Fullerton,San Diego St.,-1,200,20,61,0.328,5,24,0.208,12,18,0.667,12,27,39,9,7,2,18,22,57,75.55,75.45
2023-11-06,San Diego St.,Cal St. Fullerton,1,200,28,62,0.452,9,31,0.29,18,28,0.643,9,30,39,19,12,5,14,21,83,80.3,103.36
2023-11-06,Incarnate Word,Texas,-1,200,19,64,0.297,4,23,0.174,14,23,0.609,13,23,36,6,7,4,17,19,56,78.92,70.95
2023-11-06,Texas,Incarnate Word,1,200,32,63,0.508,10,26,0.385,14,23,0.609,10,33,43,20,10,9,12,17,88,75.92,115.9
2023-11-06,Radford,North Carolina,-1,200,28,66,0.424,5,21,0.238,9,10,0.9,6,21,27,5,8,3,10,21,70,74.75,93.65
2023-11-06,North Carolina,Radford,1,200,32,61,0.525,7,20,0.35,15,23,0.652,11,25,36,18,4,5,11,11,86,71.92,119.57
2023-11-06,Kansas St.,USC,-1,200,22,71,0.31,8,33,0.242,17,24,0.708,19,20,39,14,9,2,17,23,69,80.4,85.82
2023-11-06,USC,Kansas St.,1,200,31,60,0.517,5,20,0.25,15,19,0.789,8,27,35,17,8,8,18,19,82,79.03,103.76
2023-11-06,American,Villanova,-1,200,21,62,0.339,9,30,0.3,12,16,0.75,8,17,25,15,6,2,9,17,63,70.6,89.24
