date,team,opponent,location_value,neutral,game_url,game_id
2026-01-27,Arkansas Pine Bluff,Grambling St.,-1,0,,2026-01-27__Arkansas Pine Bluff__Grambling St.
2026-01-27,Boise St.,San Jose St.,-1,0,,2026-01-27__Boise St.__San Jose St.
2026-01-27,Bowling Green,Buffalo,1,0,,2026-01-27__Bowling Green__Buffalo
2026-01-27,Buffalo,Bowling Green,-1,0,,2026-01-27__Bowling Green__Buffalo
2026-01-27,Central Michigan,Eastern Michigan,1,0,,2026-01-27__Central Michigan__Eastern Michigan
2026-01-27,Connecticut,Providence,1,0,,2026-01-27__Connecticut__Providence
2026-01-27,Creighton,Marquette,-1,0,,2026-01-27__Creighton__Marquette
2026-01-27,Dayton,Rhode Island,1,0,,2026-01-27__Dayton__Rhode Island
2026-01-27,Eastern Michigan,Central Michigan,-1,0,,2026-01-27__Central Michigan__Eastern Michigan
2026-01-27,George Washington,Saint Louis,-1,0,,2026-01-27__George Washington__Saint Louis
2026-01-27,Georgia,Tennessee,1,0,,2026-01-27__Georgia__Tennessee
2026-01-27,Georgia Tech,Virginia Tech,-1,0,,2026-01-27__Georgia Tech__Virginia Tech
2026-01-27,Grambling St.,Arkansas Pine Bluff,1,0,,2026-01-27__Arkansas Pine Bluff__Grambling St.
2026-01-27,Grand Canyon,Nevada,-1,0,,2026-01-27__Grand Canyon__Nevada
2026-01-27,Illinois Chicago,Indiana St.,1,0,,2026-01-27__Illinois Chicago__Indiana St.
2026-01-27,Indiana,Purdue,1,0,,2026-01-27__Indiana__Purdue
2026-01-27,Indiana St.,Illinois Chicago,-1,0,,2026-01-27__Illinois Chicago__Indiana St.
2026-01-27,Kansas St.,West Virginia,-1,0,,2026-01-27__Kansas St.__West Virginia
2026-01-27,Kent St.,Ohio,1,0,,2026-01-27__Kent St.__Ohio
2026-01-27,Kentucky,Vanderbilt,-1,0,,2026-01-27__Kentucky__Vanderbilt
2026-01-27,Loyola Chicago,Saint Joseph's,1,0,,2026-01-27__Loyola Chicago__Saint Joseph's
2026-01-27,Marquette,Creighton,1,0,,2026-01-27__Creighton__Marquette
2026-01-27,Massachusetts,Miami OH,-1,0,,2026-01-27__Massachusetts__Miami OH
2026-01-27,McNeese,Southeastern Louisiana,-1,0,,2026-01-27__McNeese__Southeastern Louisiana
2026-01-27,Miami OH,Massachusetts,1,0,,2026-01-27__Massachusetts__Miami OH
2026-01-27,Michigan,Nebraska,1,0,,2026-01-27__Michigan__Nebraska
2026-01-27,Michigan St.,Rutgers,-1,0,,2026-01-27__Michigan St.__Rutgers
2026-01-27,Mississippi Valley St.,Southern,-1,0,,2026-01-27__Mississippi Valley St.__Southern
2026-01-27,Missouri,Alabama,-1,0,,2026-01-27__Alabama__Missouri
2026-01-27,N.C. State,Syracuse,1,0,,2026-01-27__N.C. State__Syracuse
2026-01-27,Nebraska,Michigan,-1,0,,2026-01-27__Michigan__Nebraska
2026-01-27,Nevada,Grand Canyon,1,0,,2026-01-27__Grand Canyon__Nevada
2026-01-27,New Mexico,UNLV,-1,0,,2026-01-27__New Mexico__UNLV
